"CSC" "Prog1" "Prog2" "Stress" "CSC" "Prog1" "Prog2" "Stress" "CSC" "Prog1" "Prog2" "Stress"
"MDM4" 0 0.105691056910569 0.126582278481013 0.27906976744186 0 0.133358563915516 0.1550842753586 0.380214310113016 0 0.0780235499056223 0.0980802816034254 0.177925224770705
"MEN1" 0 -0.024390243902439 -0.0126582278481013 -0.0232558139534884 0 -0.0174249973837112 -0.00943626298367836 -0.0118362688131966 0 -0.0313554904211669 -0.0158801927125242 -0.0346753590937801
"MET" 0 -0.024390243902439 -0.0189873417721519 -0.0465116279069767 0 -0.0174249973837112 -0.0141853749069062 -0.0242163254902166 0 -0.0313554904211669 -0.0237893086373976 -0.0688069303237368
"MLH1" 0.0294117647058824 0.00813008130081301 0.00632911392405063 0.0232558139534884 0.04565352562692 0.0104905259543819 0.00795042316672498 0.0580582372381871 0.0131700037848447 0.00576963664724412 0.00470780468137628 -0.0115466093312103
"NFKBIA" -0.0588235294117647 -0.016260162601626 -0.0126582278481013 0 -0.027324356716419 -0.0115779691084812 -0.00943626298367836 0.0233828781444069 -0.0903227021071105 -0.0209423560947709 -0.0158801927125242 -0.0233828781444069
"NPM1" 0 0.00813008130081301 0.0253164556962025 0 0 0.0152501110755126 0.0316777709413452 0 0 0.00101005152611339 0.0189551404510599 0
"PALB2" 0 0.016260162601626 0.0126582278481013 0.0697674418604651 0 0.0209423560947709 0.0158801927125242 0.10239471368987 0 0.0115779691084812 0.00943626298367838 0.0371401700310601
"PBRM1" -0.0294117647058824 -0.032520325203252 -0.0443037974683544 -0.0930232558139535 -0.0131700037848447 -0.0233107214729341 -0.0333883588090755 -0.050607802435727 -0.04565352562692 -0.04172992893357 -0.0552192361276333 -0.13543870919218
"PIK3R1" 0.0294117647058824 0.00813008130081301 0.00632911392405063 0 0.04565352562692 0.0152501110755126 0.0112136952729995 0 0.0131700037848447 0.0010100515261134 0.00144453257510179 0
"PIM1" -0.0588235294117647 0 -0.0189873417721519 -0.0232558139534884 -0.027324356716419 0 -0.0141853749069062 -0.0118362688131966 -0.0903227021071105 0 -0.0237893086373976 -0.0346753590937801
"RHOA" -0.0588235294117647 -0.016260162601626 -0.0126582278481013 -0.0697674418604651 -0.027324356716419 -0.0115779691084812 -0.00943626298367836 -0.0371401700310601 -0.0903227021071105 -0.0209423560947709 -0.0158801927125242 -0.10239471368987
"RIT1" 0 0.040650406504065 0.0632911392405063 0.0930232558139535 0 0.0520656716319802 0.0785748187255894 0.13543870919218 0 0.0292351413761499 0.0480074597554233 0.050607802435727
"RUNX1" -0.0882352941176471 -0.0731707317073171 -0.10126582278481 -0.0697674418604651 -0.0424630587947229 -0.0533197791289426 -0.0778033094131151 -0.0371401700310601 -0.134007529440571 -0.0930216842856915 -0.124728336156505 -0.10239471368987
"STAT3" -0.0294117647058824 0 0.0126582278481013 -0.0232558139534884 -0.0131700037848447 0.00475958512113071 0.0158801927125242 -0.0118362688131966 -0.04565352562692 -0.00475958512113071 0.00943626298367835 -0.0346753590937801
"SUZ12" 0 0.016260162601626 0.00632911392405063 -0.0232558139534884 0.0334678709888048 0.0209423560947709 0.00795042316672498 -0.0118362688131966 -0.0334678709888048 0.0115779691084811 0.00470780468137628 -0.0346753590937801
"TET2" -0.323529411764706 -0.390243902439024 -0.512658227848101 -0.325581395348837 -0.199009244703417 -0.320591437251746 -0.448249910991032 -0.215192458992684 -0.448049578825994 -0.459896367626303 -0.577066544705171 -0.435970331704991
"TGFBR2" 0.0294117647058824 0.016260162601626 0 0.0232558139534884 0.04565352562692 0.0209423560947709 0 0.0580582372381871 0.0131700037848447 0.0115779691084812 0 -0.0115466093312103
"TP53" -0.794117647058823 -0.666666666666667 -0.613924050632911 -0.627906976744186 -0.701096652692881 -0.601619003344547 -0.552820313123968 -0.510448798158328 -0.887138641424766 -0.731714329988786 -0.675027788141855 -0.745365155330044
"TSC1" 0.0588235294117647 0.040650406504065 0.113924050632911 0.0232558139534884 0.0903227021071105 0.0520656716319802 0.139947612999404 0.0346753590937801 0.027324356716419 0.0292351413761499 0.0879004882664186 0.0118362688131966
"TSC2" 0 0.0569105691056911 0.0506329113924051 0.0465116279069767 0 0.0726210695868216 0.0630250839478778 0.0688069303237369 0 0.0412000686245605 0.0382407388369323 0.0242163254902166
"EGLN1" 0.0882352941176471 0.0731707317073171 0.132911392405063 0.255813953488372 0.134007529440571 0.0930216842856915 0.162621626106809 0.351520617521293 0.0424630587947228 0.0533197791289427 0.103201158703317 0.160107289455451
"JAK1" 0 -0.040650406504065 -0.0126582278481013 0 0 -0.0292351413761499 -0.00943626298367836 0 0 -0.0520656716319802 -0.0158801927125242 0
"JAK2" 0.0294117647058824 0.040650406504065 0.0189873417721519 0.13953488372093 0.04565352562692 0.0520656716319802 0.0237893086373976 0.199895336605329 0.0131700037848447 0.0292351413761499 0.0141853749069062 0.079174430836531
"PRKDC" 0.0588235294117647 0.016260162601626 0.0189873417721519 0.0465116279069767 0.0903227021071105 0.0209423560947709 0.0237893086373976 0.0688069303237368 0.027324356716419 0.0115779691084812 0.0141853749069062 0.0242163254902166
"SDHC" 0.117647058823529 0.227642276422764 0.291139240506329 0.186046511627907 0.176708007627303 0.279107709033365 0.344342968011159 0.262176812563185 0.0585861100197561 0.176176843812164 0.237935513001499 0.109916210692629
